Sequence,Level,Label,definition
171,3,Ethical systems,"The structured frameworks, theories, and methodologies that provide systematic approaches to determining moral principles, evaluating ethical dilemmas, and guiding moral decision-making, including consequentialist, deontological, virtue-based, and care-based approaches."
172,3,Political ethics,"The branch of moral philosophy that examines ethical principles, values, and conduct within political systems, governance, and public policy, addressing issues of justice, power, authority, rights, and the moral responsibilities of political actors and institutions."
173,3,Ethics of family relationships,"The philosophical study of moral principles, obligations, and virtues governing familial bonds and domestic life, examining ethical dimensions of parent-child relationships, spousal duties, sibling interactions, caregiving responsibilities, and the moral foundations of family structures."
174,3,Occupational ethics,"The systematic examination of moral principles, professional standards, and ethical conduct within specific vocations, professions, and workplaces, addressing issues of professional responsibility, workplace integrity, client relationships, and industry-specific moral dilemmas."
175,3,"Ethics of recreation, leisure, public performances, communication","The philosophical investigation of moral principles governing entertainment, leisure activities, artistic expression, public discourse, and mediated communication, examining ethical dimensions of sportsmanship, artistic integrity, media responsibility, and the moral implications of recreational practices."
176,3,Ethics of sex and reproduction,"The branch of moral philosophy that systematically examines ethical principles, values, and conduct related to human sexuality, intimate relationships, reproductive choices, and biological processes, addressing issues of consent, reproductive rights, sexual morality, and the ethical dimensions of reproductive technologies."
177,3,Ethics of social relations,"The philosophical study of moral principles governing interpersonal interactions, social bonds, and community relationships beyond familial and political contexts, examining ethical dimensions of friendship, neighborly relations, social etiquette, and moral obligations within civil society."
178,3,Ethics of consumption,"The systematic examination of moral principles, values, and conduct related to the acquisition, use, and disposal of goods and services, addressing ethical dimensions of consumer choices, sustainable practices, fair trade, and the moral implications of economic behavior in market societies."
179,3,Other ethical norms,"Moral principles, values, and standards that fall outside the specific domains of political, familial, occupational, recreational, sexual, social, or consumption ethics, encompassing specialized, emerging, or cross-cutting ethical considerations that require distinct philosophical examination."
180,2,"Ancient, medieval, and Eastern philosophy","The comprehensive study of philosophical traditions and systems developed in pre-modern Western civilizations (including Greek, Roman, and medieval European thought) and various Eastern cultures (such as Indian, Chinese, and Japanese philosophy), encompassing diverse approaches to metaphysics, epistemology, ethics, and human flourishing across these distinct historical and cultural contexts."
180,3,"Ancient, medieval, Eastern philosophy","The comprehensive study of philosophical traditions and systems developed in pre-modern Western civilizations (including Greek, Roman, and medieval European thought) and various Eastern cultures (such as Indian, Chinese, and Japanese philosophy), encompassing diverse approaches to metaphysics, epistemology, ethics, and human flourishing across these distinct historical and cultural contexts."
181,3,Eastern philosophy,"The diverse philosophical traditions originating from Asian cultures, including Indian philosophy (with schools like Vedanta, Buddhism, and Jainism), Chinese philosophy (such as Confucianism, Daoism, and Legalism), Japanese philosophy (including Zen Buddhism and Bushido), and other Eastern systems, characterized by holistic approaches to reality, emphasis on spiritual enlightenment, and integration of philosophical inquiry with practical living."
182,3,Pre-Socratic Greek philosophies,"The earliest Greek philosophical traditions that emerged before Socrates, focusing primarily on cosmological and metaphysical questions about the fundamental nature of reality, the arche (first principle), and the structure of the cosmos, with key figures including Thales, Anaximander, Heraclitus, Parmenides, and the Pythagoreans, who established the foundations of Western philosophical inquiry through rational rather than mythological explanations."
183,3,"Sophistic, Socratic, related Greek philosophies","The philosophical movements in 5th-century BCE Greece that shifted focus from cosmological speculation to human concerns, ethics, and epistemology, encompassing the Sophists' relativistic teachings on rhetoric and virtue, Socrates' dialectical method of questioning to expose contradictions in beliefs, and related developments that established philosophy as critical inquiry into human knowledge, morality, and the good life."
184,3,Platonic philosophy,"The comprehensive philosophical system developed by Plato, centered on the theory of Forms (eternal, perfect ideals that transcend the physical world), the immortality of the soul, the allegory of the cave illustrating the journey from ignorance to enlightenment, and the conception of philosophy as the pursuit of true knowledge through dialectic, with profound implications for metaphysics, epistemology, ethics, politics, and aesthetics."
185,3,Aristotelian philosophy,"The systematic philosophical approach developed by Aristotle, characterized by empirical observation, logical analysis through syllogistic reasoning, the concept of substance as the fundamental reality, the doctrine of the four causes (material, formal, efficient, and final), and the teleological view that all things have inherent purposes, encompassing comprehensive treatises on logic, metaphysics, ethics, politics, biology, and poetics."
186,3,Skeptic and Neoplatonic philosophies,"Two distinct but historically connected philosophical movements: Skepticism, which questions the possibility of certain knowledge and advocates suspension of judgment (epoche), represented by Pyrrho and Sextus Empiricus; and Neoplatonism, developed by Plotinus, which synthesizes Platonic thought with mystical elements, positing a hierarchical reality emanating from the transcendent One through Nous and Soul to the material world, emphasizing spiritual ascent through contemplation."
187,3,Epicurean philosophy,"The philosophical school founded by Epicurus that identifies pleasure (ataraxia - freedom from disturbance) as the highest good, advocates for a simple life free from fear (particularly fear of gods and death), employs atomistic materialism to explain the natural world, and emphasizes friendship and moderate pleasures as the path to happiness, while rejecting political ambition and supernatural explanations."
188,3,Stoic philosophy,"The philosophical tradition founded by Zeno of Citium that teaches virtue as the only true good, emphasizes living in accordance with nature and reason, advocates for emotional control through apatheia (freedom from destructive passions), promotes acceptance of fate through understanding the rational order of the cosmos (logos), and provides practical guidance for ethical living through duty, self-discipline, and cosmopolitan citizenship."
189,3,Medieval Western philosophy,"The philosophical tradition that developed in Europe from approximately the 5th to the 15th centuries, characterized by the synthesis of classical Greek philosophy (particularly Aristotle and Plato) with Christian theology, addressing problems of faith and reason, the nature of God, universals, and ethics, with major figures including Augustine, Anselm, Aquinas, and Duns Scotus working within scholastic methods of disputation and commentary."
190,2,"Modern Western philosophy (19th-century, 20th-century)","The philosophical developments in Western thought from the 19th century onward, characterized by responses to Enlightenment rationalism, the rise of scientific methodology, existential concerns, linguistic analysis, and regionally distinct philosophical movements across Europe, North America, and other Western-influenced areas."
190,3,Modern Western and other non-eastern philosophy,"The philosophical developments in Western thought from the 19th century onward, characterized by responses to Enlightenment rationalism, the rise of scientific methodology, existential concerns, linguistic analysis, and regionally distinct philosophical movements across Europe, North America, and other Western-influenced areas."
191,3,Philosophy of the United States and Canada,"The philosophical traditions and movements originating in or primarily developed within the United States and Canada, including American pragmatism, process philosophy, analytic philosophy, and various indigenous philosophical perspectives, often characterized by practical orientation, pluralism, and engagement with democratic ideals and scientific developments."
192,3,Philosophy of the British Isles,"The philosophical traditions emerging from Great Britain and Ireland, particularly known for the development of British empiricism, analytic philosophy, logical positivism, ordinary language philosophy, and contributions to ethics and political philosophy, with distinctive emphasis on clarity, logical analysis, and empirical foundations."
193,3,Philosophy of Germany and Austria,"The philosophical traditions originating in German-speaking regions, encompassing German idealism, phenomenology, existentialism, critical theory, hermeneutics, and analytic philosophy, characterized by systematic rigor, historical consciousness, and deep engagement with metaphysics, epistemology, and social critique."
194,3,Philosophy of France,"The philosophical traditions developed in France, including existentialism, phenomenology, structuralism, post-structuralism, deconstruction, and various forms of continental philosophy, often characterized by literary expression, political engagement, and critical approaches to subjectivity, language, and power."
195,3,Philosophy of Italy,"The philosophical traditions originating in Italy, encompassing idealism, historicism, Marxism, hermeneutics, and various forms of contemporary continental philosophy, with particular emphasis on historical consciousness, political philosophy, aesthetics, and the relationship between philosophy and cultural heritage."
196,3,Philosophy of Spain and Portugal,"The philosophical traditions emerging from the Iberian Peninsula, including existentialism, phenomenology, personalism, and various forms of Latin American philosophy, often characterized by engagement with human existence, religious dimensions, and the philosophical implications of Iberian cultural and historical experiences."
197,3,Philosophy of Russia,"The philosophical traditions developed in Russia and the broader Slavic context, encompassing religious philosophy, existentialism, Marxism-Leninism, structuralism, and various forms of contemporary thought, characterized by engagement with questions of meaning, spirituality, social transformation, and the relationship between individual and collective existence."
198,3,Philosophy of Scandinavia and Finland,"The philosophical traditions originating in Nordic countries, including analytic philosophy, phenomenology, existentialism, and various ethical and political philosophies, often characterized by clarity, logical precision, engagement with scientific developments, and distinctive approaches to value theory and social philosophy."
199,3,Philosophy in other geographic areas,"Philosophical traditions and developments in Western-influenced regions beyond the specifically enumerated geographic areas, including philosophical movements in Latin America, Africa, Australia, and other regions where Western philosophical methods and concerns have been adapted, transformed, or critically engaged within local cultural and historical contexts."
200,1,Religion,"The organized system of beliefs, practices, rituals, and moral codes centered on the relationship between humanity and the sacred or supernatural, encompassing theological doctrines, worship traditions, religious experiences, ethical frameworks, and institutional structures across various faith traditions."
200,2,Religion,"The organized system of beliefs, practices, rituals, and moral codes centered on the relationship between humanity and the sacred or supernatural, encompassing theological doctrines, worship traditions, religious experiences, ethical frameworks, and institutional structures across various faith traditions."
200,3,Religion,"The organized system of beliefs, practices, rituals, and moral codes centered on the relationship between humanity and the sacred or supernatural, encompassing theological doctrines, worship traditions, religious experiences, ethical frameworks, and institutional structures across various faith traditions."
201,3,"Religious mythology, general classes of religion, interreligious relations and attitudes, social theology","The study of sacred narratives and symbolic stories that convey religious truths and cosmological understandings, along with the systematic classification of religious traditions, examination of relationships between different faiths, analysis of societal attitudes toward religion, and theological perspectives on social issues and structures."
202,3,Doctrines,"The formalized principles, teachings, and beliefs that constitute the official theological positions of a religious tradition, including creeds, dogmas, and systematic expositions of faith that define orthodoxy and establish the intellectual foundations for religious practice and interpretation."
203,3,Public worship and other practices,"The communal rituals, ceremonies, and observances performed collectively by religious adherents, including liturgical services, sacraments, festivals, pilgrimages, and other formalized acts of devotion that express and reinforce religious identity and community bonds."
204,3,"Religious experience, life, practice","The personal, subjective encounters with the divine or sacred, along with the daily application of religious principles in individual conduct, spiritual disciplines, prayer, meditation, and the lived expression of faith that shapes personal identity and moral character."
205,3,Religious ethics,"The moral principles, values, and behavioral guidelines derived from religious teachings and sacred texts that govern individual and communal conduct, addressing questions of right and wrong, virtue and vice, and the application of religious values to ethical dilemmas and social responsibilities."
206,3,Leaders and organization,"The hierarchical structures, administrative systems, and designated authorities within religious communities, including clergy, religious orders, governing bodies, and institutional frameworks that provide leadership, maintain tradition, and manage the practical affairs of religious life."
207,3,Missions and religious education,"The organized efforts to propagate religious faith through evangelism, conversion activities, and outreach programs, combined with systematic instruction in religious beliefs, scriptures, traditions, and values through formal educational institutions, catechetical programs, and faith formation initiatives."
208,3,Sources,"The foundational texts, scriptures, oral traditions, historical documents, and authoritative writings that serve as the primary references for religious belief and practice, including canonical works, commentaries, and sacred literature that preserve and transmit religious knowledge across generations."
209,3,Sects and reform movements,"The subgroups, denominations, and dissenting factions that emerge within established religious traditions, often characterized by distinctive interpretations, practices, or organizational structures, along with organized efforts to renew, purify, or transform religious institutions and teachings in response to perceived deviations or contemporary challenges."
210,2,Philosophy and theory of religion,"The systematic philosophical inquiry into the fundamental nature, concepts, and epistemological foundations of religion, examining questions about the existence and attributes of God, the relationship between science and religion, the problem of evil, and the nature of religious knowledge and experience through rational analysis and critical reflection."
210,3,Philosophy and theory of religion,"The systematic philosophical inquiry into the fundamental nature, concepts, and epistemological foundations of religion, examining questions about the existence and attributes of God, the relationship between science and religion, the problem of evil, and the nature of religious knowledge and experience through rational analysis and critical reflection."
211,3,Concepts of God,"The philosophical examination and analysis of different conceptions and understandings of the divine nature, including monotheistic, polytheistic, pantheistic, panentheistic, and deistic perspectives, as well as attributes such as omnipotence, omniscience, omnibenevolence, and transcendence versus immanence."
212,3,"Existence, ways of knowing God, attributes of God","The philosophical investigation into arguments for and against the existence of God (including ontological, cosmological, teleological, and moral arguments), epistemological questions about how humans can know or experience the divine, and systematic analysis of divine attributes and their logical coherence."
213,3,Creation,"The philosophical examination of religious doctrines and theories concerning the origin of the universe, including questions about divine agency in creation, the relationship between creator and creation, and metaphysical implications of different creation narratives across religious traditions."
214,3,Theodicy,"The philosophical attempt to reconcile the existence of an omnipotent, omniscient, and omnibenevolent God with the presence of evil and suffering in the world, examining various justifications and explanations for why a perfect deity would permit imperfection and harm."
215,3,Science and religion,"The philosophical exploration of the relationship between scientific inquiry and religious belief, including questions about methodological compatibility, epistemological differences, historical interactions, and contemporary debates about evolution, cosmology, and the nature of reality."
218,3,Humankind,"The philosophical consideration of human nature, purpose, and destiny within religious contexts, including questions about the soul, free will, moral responsibility, human dignity, and the relationship between humanity and the divine."
220,2,The Bible,"The sacred scriptures of Christianity, comprising the Old Testament (Tanakh) and New Testament, which include historical, poetic, and prophetic books, Gospels, Epistles, Revelation, and related apocryphal and inter-testamental works that form the foundational texts for Christian theology and practice."
220,3,Bible,"The sacred scriptures of Christianity, comprising the Old Testament (Tanakh) and New Testament, which include historical, poetic, and prophetic books, Gospels, Epistles, Revelation, and related apocryphal and inter-testamental works that form the foundational texts for Christian theology and practice."
221,3,Old Testament (Tanakh),"The first major division of the Christian Bible, corresponding to the Hebrew Tanakh, which contains the sacred writings of ancient Israel including historical narratives, legal codes, wisdom literature, and prophetic oracles that establish the covenant relationship between God and the people of Israel."
222,3,Historical books of Old Testament,"A collection of biblical texts that narrate the history of the Israelite people from their origins through the conquest of Canaan, establishment of the monarchy, division of kingdoms, exile, and return, including books such as Joshua, Judges, Samuel, Kings, and Chronicles that document God's interaction with Israel in historical events."
223,3,Poetic books of Old Testament,"A group of biblical writings characterized by their literary artistry and reflective nature, including Job, Psalms, Proverbs, Ecclesiastes, and Song of Songs, which explore themes of wisdom, worship, human suffering, love, and the search for meaning through poetic forms, parallelism, and metaphorical language."
224,3,Prophetic books of Old Testament,"The writings attributed to prophets who delivered divine messages to Israel and Judah, including major prophets like Isaiah, Jeremiah, and Ezekiel, and minor prophets such as Hosea, Amos, and Micah, which contain oracles of judgment, calls for repentance, and promises of future restoration and messianic hope."
225,3,New Testament,"The second major division of the Christian Bible, composed of 27 books written in Greek during the first century CE, which documents the life, teachings, death, and resurrection of Jesus Christ, the establishment of the early Christian church, and the theological foundations of Christian faith and practice."
226,3,Gospels and Acts,"The narrative portion of the New Testament comprising the four Gospels—Matthew, Mark, Luke, and John—which present distinct accounts of Jesus' ministry, teachings, miracles, death, and resurrection, followed by the Acts of the Apostles, which chronicles the spread of early Christianity from Jerusalem throughout the Roman Empire."
227,3,Epistles,"A collection of 21 letters in the New Testament, including Pauline epistles attributed to the Apostle Paul and general epistles by other early Christian leaders, which address theological doctrines, ethical instruction, church organization, and practical guidance for Christian communities facing various challenges and questions of faith."
228,3,Revelation (Apocalypse),"The final book of the New Testament, also known as the Apocalypse, which employs vivid symbolic imagery, visions, and prophetic language to reveal God's ultimate triumph over evil, the final judgment, the establishment of a new heaven and earth, and the return of Christ as described in its apocalyptic literary form."
229,3,"Apocrypha, pseudepigrapha, and inter-testamental works","A diverse body of Jewish and early Christian religious writings from approximately 200 BCE to 100 CE that were not included in the canonical Hebrew Bible or standard Christian Old Testament, including historical narratives, wisdom literature, apocalyptic visions, and expansions of biblical stories that provide insight into the religious thought and practices during the period between the Old and New Testaments."
230,2,Christianity,"A monotheistic Abrahamic religion centered on the life, teachings, death, and resurrection of Jesus Christ, encompassing doctrines about God, Christology, soteriology, eschatology, and spiritual beings, with formal expressions through creeds, confessions, and theological apologetics."
230,3,Christianity,"A monotheistic Abrahamic religion centered on the life, teachings, death, and resurrection of Jesus Christ, encompassing doctrines about God, Christology, soteriology, eschatology, and spiritual beings, with formal expressions through creeds, confessions, and theological apologetics."
231,3,God,"The supreme, eternal, and personal being who is the creator and sustainer of the universe, characterized by attributes such as omnipotence, omniscience, omnipresence, holiness, justice, love, and mercy, and who exists as a Trinity of Father, Son, and Holy Spirit in Christian theology."
232,3,Jesus Christ and his family,"The central figure of Christianity, believed to be the incarnate Son of God, fully divine and fully human, whose life, teachings, death, and resurrection form the foundation of Christian faith, along with his earthly family including Mary (his mother), Joseph (his earthly father), and his siblings as mentioned in biblical accounts."
233,3,Humankind,"Human beings created in the image of God, possessing inherent dignity and worth, yet affected by sin and in need of redemption, with theological considerations including human nature, free will, moral responsibility, and the relationship between body and soul."
234,3,Salvation and grace,"The divine act of delivering humanity from sin and its consequences through the atoning work of Jesus Christ, accomplished by God's unmerited favor (grace) rather than human effort, involving justification, sanctification, and glorification as key components of the redemptive process."
235,3,Spiritual beings,"Non-corporeal entities that exist in the spiritual realm, including angels (heavenly messengers and servants of God), demons (fallen angels opposed to God), and other supernatural beings mentioned in Christian scripture and tradition."
236,3,Eschatology,"The branch of Christian theology concerned with the final events in the history of the world, the ultimate destiny of humanity, and the culmination of God's redemptive plan, including doctrines about death, judgment, heaven, hell, the second coming of Christ, and the resurrection of the dead."
238,3,"Creeds, confessions of faith, covenants, and catechisms","Formal statements of Christian belief and practice that define orthodox doctrine, including creeds (concise summaries of core beliefs like the Apostles' and Nicene Creeds), confessions (comprehensive doctrinal statements of particular traditions), covenants (solemn agreements between God and people or among believers), and catechisms (instructional manuals for teaching Christian doctrine)."
239,3,Apologetics and polemics,"The intellectual defense and justification of Christian beliefs through reasoned arguments and evidence (apologetics), along with the critical engagement with and refutation of opposing viewpoints, heresies, or false teachings (polemics) to establish and protect orthodox Christian doctrine."
240,2,Christian practice and observance,"The comprehensive theological discipline that systematically examines how Christian beliefs translate into practical living through moral principles, devotional practices, and spiritual disciplines, encompassing both individual spiritual formation and communal expressions of faith within the Christian tradition."
240,3,Christian moral and devotional theology,"The comprehensive theological discipline that systematically examines how Christian beliefs translate into practical living through moral principles, devotional practices, and spiritual disciplines, encompassing both individual spiritual formation and communal expressions of faith within the Christian tradition."
241,3,Christian ethics,"The systematic study and application of moral principles derived from Christian theology and scripture to guide decision-making, behavior, and character formation, addressing questions of right and wrong, virtue, and moral responsibility in personal, social, and institutional contexts."
242,3,Devotional literature,"Written works designed to facilitate spiritual growth, prayer, meditation, and personal religious experience, typically including prayer books, meditation guides, spiritual reflections, and inspirational writings that help individuals cultivate their relationship with God and deepen their faith practice."
243,3,Evangelistic writings for individuals and families,"Christian literature specifically created to communicate the gospel message and encourage conversion or spiritual commitment, often presented in accessible formats suitable for personal reading or family study, with content focused on explaining Christian beliefs, sharing testimonies, and inviting readers to embrace the Christian faith."
246,3,Use of art in Christianity,"The intentional employment of visual arts—including painting, sculpture, architecture, and decorative arts—to express theological concepts, enhance worship experiences, educate believers, and create sacred spaces, serving as both devotional aids and expressions of faith throughout Christian history and across various traditions."
247,3,Church furnishings and related articles,"The physical objects and equipment used in Christian worship spaces and rituals, including altars, pulpits, baptismal fonts, communion vessels, liturgical textiles, seating, and decorative elements that facilitate worship practices and create environments conducive to religious observance and community gathering."
248,3,"Christian experience, practice, life","The lived reality of Christian faith as expressed through personal spiritual experiences, daily religious practices, and the integration of belief into all aspects of existence, encompassing prayer, worship, service, moral decision-making, and the ongoing process of spiritual formation and discipleship."
249,3,Christian observances in family life,"The religious rituals, traditions, and spiritual practices conducted within family settings to nurture faith across generations, including family prayer, Bible study, celebration of religious holidays, grace at meals, and other domestic ceremonies that establish Christian identity and values in the home environment."
250,2,Christian orders and local church,"The organizational structures and ministerial functions within Christian communities, encompassing both local congregations as gathered assemblies of believers and religious orders as intentional communities living under specific rules and vows, focusing on their governance, spiritual practices, and roles in Christian life and service."
250,3,Local Christian church and Christian religious orders,"The organizational structures and ministerial functions within Christian communities, encompassing both local congregations as gathered assemblies of believers and religious orders as intentional communities living under specific rules and vows, focusing on their governance, spiritual practices, and roles in Christian life and service."
251,3,Preaching (Homiletics),"The art and practice of delivering sermons or homilies, involving the preparation, composition, and oral presentation of religious messages based on scriptural texts to instruct, inspire, and guide congregations in faith and practice."
252,3,Texts of sermons,"Written or transcribed records of sermons, including manuscripts, published collections, and digital formats, which preserve the content, style, and theological insights of preachers for study, reference, or devotional use."
253,3,Pastoral office and work (Pastoral theology),"The theological study and practical application of the roles and responsibilities of clergy in shepherding congregations, encompassing spiritual leadership, counseling, sacramental ministry, and the ethical dimensions of caring for souls within Christian communities."
254,3,Parish administration,"The management and organizational oversight of a local church or parish, including financial stewardship, facility maintenance, staff coordination, record-keeping, and planning activities to support the community's religious and operational needs."
255,3,Religious congregations and orders,"Communities of Christians who live under a common rule, often involving vows of poverty, chastity, and obedience, dedicated to prayer, service, or specific ministries, such as monastic, mendicant, or apostolic orders within the Catholic, Orthodox, or Protestant traditions."
259,3,"Pastoral care of families, of specific groups of people","The specialized ministry focused on providing spiritual support, guidance, and counseling to families and distinct demographic groups, such as youth, elderly, or marginalized communities, addressing their unique needs within the context of Christian faith and practice."
260,2,Social and ecclesiastical theology,"The comprehensive theological discipline that systematically examines both the church's internal nature and structure (ecclesiology) and its external engagement with society, integrating the study of Christian community life, worship practices, sacramental theology, mission work, religious education, and the relationship between faith communities and broader social contexts."
260,3,Christian social and ecclesiastical theology,"The comprehensive theological discipline that systematically examines both the church's internal nature and structure (ecclesiology) and its external engagement with society, integrating the study of Christian community life, worship practices, sacramental theology, mission work, religious education, and the relationship between faith communities and broader social contexts."
261,3,Social theology and interreligious relations and attitudes,"The theological exploration of how Christian communities understand and engage with broader society, other religious traditions, and diverse cultural contexts, examining principles for social engagement, interfaith dialogue, religious pluralism, and the development of constructive attitudes toward different belief systems within a Christian theological framework."
262,3,Ecclesiology,"The theological study of the nature, structure, authority, and purpose of the Christian church as a community of believers, examining concepts such as church governance, sacramental efficacy, ministerial offices, apostolic succession, and the relationship between local congregations and the universal church body."
263,3,"Days, times, places of religious observance","The theological and practical consideration of sacred times, liturgical calendars, holy days, seasons of the church year, and designated spaces for worship and religious practice, including the theological significance of Sabbath, feast days, pilgrimage sites, and consecrated buildings within Christian tradition."
264,3,Public worship,"The corporate, communal expression of Christian devotion and praise conducted in gathered assemblies, encompassing liturgical forms, prayer practices, hymnody, preaching, and ritual actions that constitute the regular worship life of Christian communities, distinct from private devotional practices."
265,3,"Sacraments, other rites and acts","The theological study of formal religious ceremonies and rituals that are understood to convey divine grace or mark significant spiritual transitions within Christian communities, including baptism, Eucharist, confirmation, marriage, ordination, and various blessings and devotional practices recognized by different Christian traditions."
266,3,Missions,"The organized effort to spread Christian faith, establish churches, and engage in evangelism across cultural and geographical boundaries, encompassing both historical missionary movements and contemporary approaches to cross-cultural ministry, church planting, and the theological foundations for Christian witness."
267,3,Associations for religious work,"Formal organizations, societies, and institutional structures established to support and coordinate specific aspects of Christian ministry and service, including missionary societies, religious orders, parachurch organizations, and specialized ministries that operate alongside or in partnership with local congregations."
268,3,Religious education,"The systematic instruction and formation in Christian beliefs, practices, scriptures, and traditions, encompassing both formal catechetical programs in churches and schools, as well as informal discipleship processes designed to nurture faith development across all age groups within Christian communities."
269,3,Spiritual renewal,"The theological understanding and practical pursuit of revitalization within Christian communities and individual believers, examining movements of revival, spiritual awakening, reform efforts, and practices aimed at deepening faith commitment, renewing religious fervor, and restoring vitality to Christian life and practice."
270,2,History of Christianity,"The comprehensive historical study of Christianity's development from its origins in 1st-century Judea through its global expansion, encompassing the evolution of its institutions, practices, and communities across different eras and regions, including the examination of key figures, movements, and the interaction between Christian traditions and diverse cultural contexts worldwide."
270,3,"History, geographic treatment, biography of Christianity","The comprehensive historical study of Christianity's development from its origins in 1st-century Judea through its global expansion, encompassing the evolution of its institutions, practices, and communities across different eras and regions, including the examination of key figures, movements, and the interaction between Christian traditions and diverse cultural contexts worldwide."
271,3,Religious congregations and orders in church history,"The organized communities within Christianity, typically characterized by shared rules, vows, and communal life, that have played significant roles in preserving traditions, engaging in missionary work, providing education and healthcare, and influencing theological and social developments throughout Christian history, including monastic orders, mendicant friars, and various religious institutes."
272,3,Persecutions in church history,"The systematic oppression, discrimination, or violent suppression of Christians and Christian communities by state authorities, other religious groups, or societal forces, spanning from early Roman persecutions through medieval conflicts, Reformation-era violence, modern totalitarian regimes, and contemporary religious tensions, examining their causes, impacts on Christian identity and theology, and patterns of martyrdom and resistance."
273,3,Doctrinal controversies and heresies in general church history,"The theological disputes and divergent interpretations of Christian doctrine that have emerged throughout history, challenging established orthodoxy and leading to schisms, councils, creedal formulations, and the definition of boundaries between accepted belief and condemned teaching, including debates over Christology, Trinity, grace, sacraments, and authority that have shaped Christian identity and institutional development."
274,3,Christianity in Europe,"The historical development, institutional establishment, and cultural influence of Christianity across the European continent from its early Mediterranean roots through its medieval dominance, Reformation divisions, Enlightenment challenges, and modern secularization, examining how European societies have shaped Christian traditions and how Christianity has influenced European law, art, education, politics, and social structures."
275,3,Christianity in Asia,"The presence and development of Christian communities across the Asian continent from early Eastern Christian traditions in the Middle East and South Asia through medieval Nestorian missions, colonial-era Catholic and Protestant expansion, and contemporary growth in East and Southeast Asia, examining interactions with diverse Asian cultures, religions, and political systems across two millennia."
276,3,Christianity in Africa,"The historical trajectory of Christianity on the African continent from its early establishment in North Africa and Ethiopia through medieval Coptic and Nubian kingdoms, European colonial missions, and post-independence African-initiated churches, focusing on the adaptation of Christian practices to African contexts, role in colonial and post-colonial politics, and contemporary demographic significance as a major center of global Christianity."
277,3,Christianity in North America,"The development of Christian traditions in North America from colonial settlements through frontier expansion, Great Awakenings, denominational diversification, social reform movements, and contemporary pluralism, examining how European transplants adapted to new environments, interactions with Indigenous peoples, role in nation-building, and the emergence of distinctively American forms of evangelicalism, fundamentalism, and mainline Protestantism."
278,3,Christianity in South America,"The historical presence and transformation of Christianity in South America from Iberian Catholic colonization through missions to Indigenous populations, independence-era church-state relations, 20th-century Protestant growth, Liberation Theology movements, and contemporary Pentecostal expansion, focusing on the synthesis of Catholic traditions with Indigenous and African spiritualities and Christianity's role in social and political change."
279,3,History of Christianity in other areas,"The study of Christian communities and their development in regions beyond the major continental divisions, including Oceania, the Caribbean, Central America, the Pacific Islands, and other geographically or culturally distinct areas, examining patterns of missionary activity, colonial encounters, indigenous responses, and the formation of unique Christian expressions in these diverse contexts."
280,2,Christian denominations,"The diverse branches, traditions, and organizational divisions within Christianity, encompassing early church traditions, Eastern churches, Roman Catholicism, Anglican communion, Protestant denominations, and various sectarian movements, each characterized by distinct theological doctrines, liturgical practices, ecclesiastical structures, and historical developments that differentiate them from one another while maintaining core Christian beliefs."
280,3,Denominations and sects of Christian church,"The diverse branches, traditions, and organizational divisions within Christianity, encompassing early church traditions, Eastern churches, Roman Catholicism, Anglican communion, Protestant denominations, and various sectarian movements, each characterized by distinct theological doctrines, liturgical practices, ecclesiastical structures, and historical developments that differentiate them from one another while maintaining core Christian beliefs."
281,3,Early church and Eastern churches,"The historical Christian traditions that developed from the apostolic era through late antiquity, including the ancient patriarchates of Antioch, Alexandria, Constantinople, and Jerusalem, as well as the Oriental Orthodox churches and Eastern Orthodox churches, which maintain liturgical, theological, and ecclesiastical continuity with early Christianity while developing distinct traditions separate from Western Christianity following the Great Schism of 1054."
282,3,Roman Catholic Church,"The largest Christian church worldwide, headed by the Bishop of Rome (the Pope) and characterized by its hierarchical structure centered on the papacy, sacramental theology emphasizing seven sacraments, magisterial authority, veneration of saints and Mary, and liturgical traditions including the Latin Rite and various Eastern Catholic rites, maintaining apostolic succession and doctrinal unity through the Vatican's central authority."
283,3,Anglican churches,"The global communion of churches tracing their origins to the Church of England, characterized by their via media approach blending Catholic liturgical traditions with Protestant theological principles, episcopal polity with autonomous national churches, the Book of Common Prayer as a unifying liturgical text, and the Lambeth Conference as a consultative body, maintaining apostolic succession while allowing diverse theological interpretations within a broad framework."
284,3,"Protestant denominations of continental origin (Lutheran, Continental Reformed)","Christian traditions originating from the 16th-century Reformation in continental Europe, including Lutheran churches emphasizing justification by faith alone, sacramental theology centered on baptism and Eucharist, and the Augsburg Confession, alongside Reformed churches (including Continental Reformed traditions) emphasizing God's sovereignty, covenant theology, predestination, and the regulative principle of worship, both maintaining distinct confessional identities separate from Anglican and later Protestant movements."
285,3,"Presbyterian churches, Reformed churches centered in America, Congregational churches","Protestant traditions characterized by their ecclesiastical polity and theological developments primarily in English-speaking contexts, including Presbyterian churches with representative governance through elected elders and the Westminster Standards, American Reformed churches adapting Continental Reformed theology to New World contexts, and Congregational churches emphasizing local church autonomy, covenant theology, and the priesthood of all believers, all sharing Reformed theological foundations while developing distinct organizational structures."
