Sentence,Original_Entity,Predicted_Entity
"** Nicholas Edwards , Secretary of State for Wales ( 1979Ã¢ÂÂ1987 )","['Nicholas Edwards', (27794, 27795), 'ORG']","['Nicholas Edwards', 3, 'PERSON']"
"Harare Sports Club , Harare","['Harare Sports Club', (27933, 27935), 'LOC']","['Harare Sports Club', 0, 'ORG']"
"' '' Benjamin B. Odell , Jr . '' '","['Benjamin B. Odell , Jr .', (27940, 27945), 'ORG']","['Benjamin B. Odell , Jr .', 5, 'PERSON']"
"A record crowd of 31,175 was reached on September 21 , 2012 against the Baylor Bears at the 2012 home opener .","['Baylor Bears', (27979, 27980), 'LOC']","['Baylor Bears', 72, 'ORG']"
Sportclub Enschede and the Enschedese Boys merged to form FC Twente in 1965 .,"['Sportclub Enschede', (28043, 28044), 'ORG']","['Sportclub Enschede', 0, 'PERSON']"
***** '' Paraceratherium bugtiense '',"['Paraceratherium bugtiense', (28065, 28066), 'ORG']","['Paraceratherium bugtiense', 9, 'LOC']"
Pa Tang | Padamrud | Padehay | Padehkeh | Pahnai | Pahvaz | Panhani | Pardan | Pariabad | Parmich | Patak-e Pain | Payehan | Pedaran-e Olya | Pedaran-e Sofla | Pespatang-e Sofla | Pesteh | Pey Rud | Peygodar-e Chah-e Huz | Peyvand-e Olya | Peyvand-e Sofla | Pichekan | Pir Zanuk | Piranj | Pish Kuh-e Olya | Pishbar | Pokht | Posuj | Pureng | Pustin | Puzeh-ye Zard,"['Pir Zanuk', (28120, 28121), 'LOC']","['Pir Zanuk', 269, 'PERSON']"
Nevada Group / McColley Canyon Formation,"['Nevada Group', (28184, 28185), 'LOC']","['Nevada Group', 0, 'ORG']"
New Orleans Pelicans ( 10-day contract ),"['New Orleans Pelicans', (28190, 28192), 'PERSON']","['New Orleans Pelicans', 0, 'ORG']"
Amin Erbati ( for Gabon ),"['Gabon', (28249, 28249), 'ORG']","['Gabon', 18, 'LOC']"
"Hanns Cibulka , poet","['Hanns Cibulka', (28381, 28382), 'PERSON']","['Hanns Cibulka', 0, 'LOC']"
`` Dark is the Night for All '' Ã¢ÂÂ 3:45 from Memorial Beach '',"['Memorial Beach', (28401, 28402), 'ORG']","['Memorial Beach', 49, 'LOC']"
"Green , Antony .","['Green , Antony', (28485, 28487), 'PERSON']","['Green , Antony', 0, 'LOC']"
Oita Trinita 1-0 ; 1-3 Urawa Red Diamonds,"['Oita Trinita', (28522, 28523), 'ORG']","['Oita Trinita', 0, 'PERSON']"
25px Le Touquet ( France ) -- since 1974,"['Le Touquet', (28538, 28539), 'ORG']","['Le Touquet', 5, 'LOC']"
Baby Snakes '' ( March 1983 ),"['Baby Snakes', (28578, 28579), 'ORG']","['Baby Snakes', 0, 'PERSON']"
' '' Hillary Clinton '' ',"['Hillary Clinton', (28690, 28691), 'ORG']","['Hillary Clinton', 5, 'PERSON']"
Diogo LuÃÂ­s Ã¢ÂÂ Apollon Limassol ( 2009 ),"['Apollon Limassol', (28722, 28723), 'ORG']","['Apollon Limassol', 21, 'PERSON']"
He has been compared to LÃÂ©onard Specht .,"['LÃ\x83Â©onard Specht', (28732, 28733), 'PERSON']","['LÃ\x83Â©onard Specht', 24, 'LOC']"
"*The Rocky Mountain Foothills in British Columbia and Alberta , Canada","['Rocky Mountain Foothills', (28744, 28746), 'LOC']","['Rocky Mountain Foothills', 5, 'ORG']"
'' Holy Roman Empire '' ' Ã¢ÂÂ Frederick I Barbarossa ( 1155Ã¢ÂÂ1190 ),"['Holy Roman Empire', (29018, 29020), 'ORG']","['Holy Roman Empire', 3, 'LOC']"
' '' Kingdom of Kongo '' ' Ã¢ÂÂ JoÃÂ£o II ( 1693Ã¢ÂÂ1709 ),"['Kingdom of Kongo', (29094, 29096), 'LOC']","['Kingdom of Kongo', 5, 'ORG']"
"Totovo Selo , Serbia","['Totovo Selo', (29314, 29315), 'LOC']","['Totovo Selo', 0, 'PERSON']"
"Ozzy Osbourne , MÃÂ¶tley CrÃÂ¼e , Halford , DevilDriver , Nonpoint","['Halford', (29335, 29335), 'ORG']","['Halford', 36, 'LOC']"
BK HÃÂ¤cken '' ( A ) '',"['BK HÃ\x83Â¤cken', (29530, 29531), 'ORG']","['BK HÃ\x83Â¤cken', 0, 'PERSON']"
"Ruth Jones and James Corden , Chris Moyles , Westlife and Alesha Dixon","['Westlife', (29559, 29559), 'ORG']","['Westlife', 45, 'LOC']"
He also played for Anorthosis Famagusta .,"['Anorthosis Famagusta', (29572, 29573), 'ORG']","['Anorthosis Famagusta', 19, 'PERSON']"
He went on to compile a record of 6-2 before being signed by Bellator .,"['Bellator', (29650, 29650), 'ORG']","['Bellator', 61, 'PERSON']"
StoneBridge featuring Therese - `` Put 'Em High '',"['Therese', (29654, 29654), 'PERSON']","['Therese', 22, 'LOC']"
It featured the Boise State Broncos and the Boston College Eagles .,"['Boise State Broncos', (29668, 29670), 'LOC']","['Boise State Broncos', 16, 'ORG']"
It featured the Boise State Broncos and the Boston College Eagles .,"['Boston College Eagles', (29673, 29675), 'LOC']","['Boston College Eagles', 44, 'ORG']"
Has strong links with the Orange Order .,"['Orange Order', (29755, 29756), 'LOC']","['Orange Order', 26, 'ORG']"
is a Japanese voice actress who is affiliated with Ken Production .,"['Japanese voice actress', (29895, 29897), 'PERSON']","['Japanese voice actress', 5, 'ORG']"
is a Japanese voice actress who is affiliated with Ken Production .,"['Ken Production', (29902, 29903), 'ORG']","['Ken Production', 51, 'PERSON']"
Tattoo You '' Ã¢ÂÂ The Rolling Stones ( 9 ),"['Tattoo You', (29930, 29931), 'ORG']","['Tattoo You', 0, 'PERSON']"
' '' Vico C Ã¢ÂÂ Vivo '' ' '',"['Vivo', (29945, 29945), 'ORG']","['Vivo', 19, 'LOC']"
He was born on the 29 October 1919 at Insterburg in East Prussia .,"['Insterburg', (29969, 29969), 'ORG']","['Insterburg', 38, 'LOC']"
The short story was originally published in Crashlander '' ( 1994 ) .,"['Crashlander', (30021, 30021), 'PERSON']","['Crashlander', 44, 'LOC']"
"The most notable use of the name in this context was by Bob Kane in naming the home of Batman , Gotham City .","['Batman', (30083, 30083), 'PERSON']","['Batman', 87, 'LOC']"
Sweet Justice '' ( 1992 ),"['Sweet Justice', (30164, 30165), 'PERSON']","['Sweet Justice', 0, 'ORG']"
''Hot Natured 01 ( with Hot Natured ) '' ( 2008 ),"['Hot Natured', (30201, 30202), 'ORG']","['Hot Natured', 2, 'PERSON']"
"Murray , Peter , and Linda Murray .","['Murray', (30243, 30243), 'PERSON']","['Murray', 0, 'LOC']"
' '' Bristol City '' ',"['Bristol City', (30303, 30304), 'ORG']","['Bristol City', 5, 'LOC']"
"Although he was born in Gonbad-e Kavus , he has lived in Mashhad since his early childhood .","['Gonbad-e Kavus', (30333, 30334), 'ORG']","['Gonbad-e Kavus', 24, 'LOC']"
"The racial makeup of the CDP was 99.11 % Native American , 0.71 % White , and 0.18 % from other races .","['Native American', (30355, 30356), 'ORG']","['Native American', 41, 'LOC']"
*2002 - Holy Water '',"['Holy Water', (30389, 30390), 'ORG']","['Holy Water', 8, 'PERSON']"
Causasian Front Ã¢ÂÂ 30 December 1941 Ã¢ÂÂ 28 January 1942,"['Causasian Front', (30449, 30450), 'LOC']","['Causasian Front', 0, 'PERSON']"
Black Pearls '' / Shirley 's Sounds '',"[""Shirley 's Sounds"", (30536, 30538), 'LOC']","[""Shirley 's Sounds"", 18, 'PERSON']"
"These have ranged from concerts and shows by Bruce Springsteen , Bob Dylan , BB King , Dave Chappelle , Elton John , J.Cole , Mike Epps , Thomas and Friends and Green Day .","['BB King', (30614, 30615), 'ORG']","['BB King', 77, 'PERSON']"
"These have ranged from concerts and shows by Bruce Springsteen , Bob Dylan , BB King , Dave Chappelle , Elton John , J.Cole , Mike Epps , Thomas and Friends and Green Day .","['Green Day', (30632, 30633), 'ORG']","['Green Day', 161, 'PERSON']"
It was triggered by the resignation of sitting Labor member Bill D'Arcy .,"['Labor', (30656, 30656), 'ORG']","['Labor', 47, 'LOC']"
"Saprosecans bialoviensis '' Gwiazdowicz , 2001","['Saprosecans bialoviensis', (30669, 30670), 'ORG']","['Saprosecans bialoviensis', 0, 'LOC']"
Pilot Mound ' '' ( 204 ) ' '' 208 245 825,"['Pilot Mound', (30723, 30724), 'LOC']","['Pilot Mound', 0, 'PERSON']"
"Their first single was a cover of `` Hymn '' , originally performed by Ultravox .","['Ultravox', (30779, 30779), 'ORG']","['Ultravox', 71, 'LOC']"
'' Duchy of Milan '' ' Ã¢ÂÂ Gian Galeazzo Sforza ( 1476Ã¢ÂÂ1494 ),"['Duchy of Milan', (30825, 30827), 'LOC']","['Duchy of Milan', 3, 'ORG']"
** '' Principality of Kakheti '' ' Ã¢ÂÂ Grigol ( 786Ã¢ÂÂ827 ),"['Principality of Kakheti', (31113, 31115), 'ORG']","['Principality of Kakheti', 6, 'LOC']"
'' Taxi Brooklyn '' ( 2014 ),"['Taxi Brooklyn', (31191, 31192), 'ORG']","['Taxi Brooklyn', 3, 'PERSON']"
' '' A.F.C. Bournemouth '' ',"['A.F.C. Bournemouth', (31221, 31222), 'ORG']","['A.F.C. Bournemouth', 5, 'PERSON']"
' '' 1 : ' '' Athletic Bilbao : 1972,"['Athletic Bilbao', (31231, 31232), 'ORG']","['Athletic Bilbao', 14, 'PERSON']"
"On December 5 , he scored three touchdowns against the Carolina Panthers .","['Carolina Panthers', (31245, 31246), 'PERSON']","['Carolina Panthers', 55, 'ORG']"
"All songs written by Roger Manning and Andy Sturmer , except where noted .","['Roger Manning', (31303, 31304), 'ORG']","['Roger Manning', 21, 'PERSON']"
Deinacanthon '' ( 1 species ),"['Deinacanthon', (31317, 31317), 'LOC']","['Deinacanthon', 0, 'ORG']"
"`` ' '' So Many Ways '' ' '' is a single by Mancunian band James , released in July 1986 by Sire Records , the second after the band defected from Factory Records .","['James', (31428, 31428), 'ORG']","['James', 59, 'LOC']"
"'' The Simpsons '' - Ned Flanders , Moe Szyslak","['Ned Flanders', (31489, 31490), 'ORG']","['Ned Flanders', 21, 'PERSON']"
"Radhika]] , Srinivasa Murthy , Avinash , Sadhu Kokila","['Avinash', (31512, 31512), 'PERSON']","['Avinash', 31, 'LOC']"
"'' Palpita unionalis '' ( HÃÂ¼bner , 1796 )","['Palpita unionalis', (31557, 31558), 'ORG']","['Palpita unionalis', 3, 'LOC']"
"Baiju]] , Thilakan , Saranya","['Thilakan', (31588, 31588), 'PERSON']","['Thilakan', 10, 'LOC']"
"It covers a large area around Sai Kung , includes High Island Reservoir and Tai Long Wan , Sai Kung .","['Sai Kung', (31824, 31825), 'ORG']","['Sai Kung', 30, 'PERSON']"
"It covers a large area around Sai Kung , includes High Island Reservoir and Tai Long Wan , Sai Kung .","['High Island Reservoir', (31828, 31830), 'LOC']","['High Island Reservoir', 50, 'ORG']"
In 1952 he was hired in Verdens Gang '' .,"['Verdens Gang', (31871, 31872), 'ORG']","['Verdens Gang', 24, 'LOC']"
`` Smalltown Boy '' ( Bronski Beat ),"['Bronski Beat', (31886, 31887), 'ORG']","['Bronski Beat', 22, 'PERSON']"
Edward Owusu Ã¢ÂÂ Kongsvinger Ã¢ÂÂ 2013,"['Kongsvinger', (31911, 31911), 'ORG']","['Kongsvinger', 20, 'LOC']"
2011 : Vincent Di Fate ; Gardner Dozois ; Harlan Ellison ; Jean Giraud,"['Vincent Di Fate', (31943, 31945), 'PERSON']","['Vincent Di Fate', 7, 'ORG']"
Change of Patriarch of Constantinople from Felix of Byzantium to Polycarpus II of Byzantium .,"['Felix of Byzantium', (32040, 32042), 'PERSON']","['Felix of Byzantium', 43, 'ORG']"
"Linus Pauling , two time Nobel prize winner","['Linus Pauling', (32049, 32050), 'PERSON']","['Linus Pauling', 0, 'ORG']"
The species was first formally described by Bill Molyneux in Muelleria '' in 1975 .,"['Muelleria', (32214, 32214), 'ORG']","['Muelleria', 61, 'LOC']"
2009 : Lokomotiv Yaroslavl ( 111 points ),"['Lokomotiv Yaroslavl', (32232, 32233), 'ORG']","['Lokomotiv Yaroslavl', 7, 'PERSON']"
Kintetsu ( kept at the Yamato Bunkakan ),"['Kintetsu', (32318, 32318), 'ORG']","['Kintetsu', 0, 'LOC']"
"The National Guard was mobilized here in 1916 , joining the Coast Artillery Corps , while the 90th Aero Squadron operated DH-4Bs from here in 1919 until 1920 , which included Jimmy Doolittle .","['DH-4Bs', (32347, 32347), 'ORG']","['DH-4Bs', 122, 'LOC']"
"He played most notably for the New York Mets and Los Angeles Dodgers , while also having brief stints with the Florida Marlins , San Diego Padres , and Oakland Athletics .","['San Diego Padres', (32413, 32415), 'PERSON']","['San Diego Padres', 129, 'ORG']"
Erithacus akahige '' ( Japanese robin ),"['Erithacus akahige', (32610, 32611), 'ORG']","['Erithacus akahige', 0, 'LOC']"
"On December 20 , 2010 , Warid Telecom was rebranded as Airtel .","['Airtel', (32702, 32702), 'ORG']","['Airtel', 55, 'LOC']"
** '' the Khanate of Khiva was superseded by the Khorezm People 's Soviet Republic on 8 October 1920 '',"['Khanate of Khiva', (32795, 32797), 'LOC']","['Khanate of Khiva', 10, 'ORG']"
** '' the Khanate of Khiva was superseded by the Khorezm People 's Soviet Republic on 8 October 1920 '',"[""Khorezm People 's Soviet Republic"", (32802, 32806), 'LOC']","[""Khorezm People 's Soviet Republic"", 49, 'ORG']"
"Sydney Cricket Ground , Sydney","['Sydney Cricket Ground', (32885, 32887), 'LOC']","['Sydney Cricket Ground', 0, 'ORG']"
The Sensuous Nurse '' ( 1975 ),"['The Sensuous Nurse', (33061, 33063), 'PERSON']","['The Sensuous Nurse', 0, 'ORG']"
'' Lordship of Ireland '' ' Ã¢ÂÂ Henry III of England ( 1216Ã¢ÂÂ1272 ),"['Lordship of Ireland', (33170, 33172), 'LOC']","['Lordship of Ireland', 3, 'ORG']"
' '' ''Elements '' ' '' is the second solo album from Deep Purple bassist Roger Glover .,"['Deep Purple', (33276, 33277), 'ORG']","['Deep Purple', 54, 'LOC']"
) - Riz Khan discusses the book with 3 scholars,"['Riz Khan', (33330, 33331), 'ORG']","['Riz Khan', 4, 'PERSON']"
Ernest William MacBride ( 1866 -1940 ),"['Ernest William MacBride', (33431, 33433), 'ORG']","['Ernest William MacBride', 0, 'PERSON']"
It is where the A413 road crosses the River Thame .,"['River Thame', (33446, 33447), 'LOC']","['River Thame', 38, 'ORG']"
'' Kingdom of Dahomey '' ' Ã¢ÂÂ Akaba ( 1685Ã¢ÂÂ1708 ),"['Kingdom of Dahomey', (33593, 33595), 'ORG']","['Kingdom of Dahomey', 3, 'LOC']"
'' Kingdom of Dahomey '' ' Ã¢ÂÂ Akaba ( 1685Ã¢ÂÂ1708 ),"['Akaba', (33599, 33599), 'PERSON']","['Akaba', 34, 'LOC']"
Saudi Arabia defeated Republic of Korea in the final match in Doha .,"['Republic of Korea', (33642, 33644), 'ORG']","['Republic of Korea', 22, 'LOC']"
"Wisma FAM , Malaysia ( H )","['Wisma FAM', (33734, 33735), 'ORG']","['Wisma FAM', 0, 'PERSON']"
Infinity '' ( 1978 ),"['Infinity', (33814, 33814), 'ORG']","['Infinity', 0, 'LOC']"
*One for Eastern Europe ( then held by Romania ),"['Eastern Europe', (33832, 33833), 'ORG']","['Eastern Europe', 9, 'LOC']"
"Shortly thereafter , she gave birth to a daughter Claudia Octavia .","['Claudia Octavia', (33863, 33864), 'PERSON']","['Claudia Octavia', 50, 'LOC']"
N.A. Wodehouse ( 14 ),"['N.A. Wodehouse', (33869, 33870), 'PERSON']","['N.A. Wodehouse', 0, 'ORG']"
"It was originally based in Portland , Oregon before the site operations moved to Los Angeles , California in 2003 .","['Los Angeles , California', (34183, 34186), 'ORG']","['Los Angeles , California', 81, 'LOC']"
"*** ( 23 ) BYU 42 , New Mexico 17 .","['New Mexico', (34284, 34285), 'ORG']","['New Mexico', 20, 'LOC']"
'' Peacemaker Kurogane '',"['Peacemaker Kurogane', (34373, 34374), 'ORG']","['Peacemaker Kurogane', 3, 'PERSON']"
It was designed by Houghtaling & Dougan .,"['Houghtaling & Dougan', (34380, 34382), 'PERSON']","['Houghtaling & Dougan', 19, 'ORG']"
"Northwest Florida ( Niceville , Florida )","['Northwest Florida', (34503, 34504), 'ORG']","['Northwest Florida', 0, 'LOC']"
"Trae tha Truth , Jeremih , T.I .","['Jeremih', (34514, 34514), 'PERSON']","['Jeremih', 17, 'LOC']"
He made his debut for WisÃÂa KrakÃÂ³w in Ekstraklasa on 2 November 1999 in a match against ÃÂKS ÃÂÃÂ³dÃÂº .,"['Ekstraklasa', (34667, 34667), 'ORG']","['Ekstraklasa', 44, 'LOC']"
"- Fredensborg , Region Hovedstaden , Denmark","['Region Hovedstaden', (34686, 34687), 'ORG']","['Region Hovedstaden', 16, 'LOC']"
"Hard Knott , 549 m ( 1,801 ft )","['Hard Knott', (34690, 34691), 'LOC']","['Hard Knott', 0, 'PERSON']"
"She completed her schooling from St. Joseph 's Convent High School , Mumbai , Vile Parle .","['Vile Parle', (34713, 34714), 'LOC']","['Vile Parle', 78, 'PERSON']"
1501 Baade ( Walter Baade ),"['Walter Baade', (34760, 34761), 'ORG']","['Walter Baade', 13, 'PERSON']"
' '' Hilda AbrahamzTop 15 '' ',"['Hilda AbrahamzTop', (34820, 34821), 'PERSON']","['Hilda AbrahamzTop', 5, 'ORG']"
"'' Other performers at the concert included Paul McCartney , Ringo Starr , Mike Love , Moby , Eddie Vedder and Donovan .","['Moby', (34870, 34870), 'PERSON']","['Moby', 87, 'LOC']"
"'' Other performers at the concert included Paul McCartney , Ringo Starr , Mike Love , Moby , Eddie Vedder and Donovan .","['Donovan', (34875, 34875), 'PERSON']","['Donovan', 111, 'LOC']"
Over was measured at the Mogollon Rim .,"['Mogollon Rim', (34882, 34883), 'LOC']","['Mogollon Rim', 25, 'ORG']"
"In 2007 , she released her third album , '' '' Funambola '' '' , produced by Arto Lindsay and Patrick Dillett .","['Funambola', (35057, 35057), 'ORG']","['Funambola', 47, 'LOC']"
"In 2007 , she released her third album , '' '' Funambola '' '' , produced by Arto Lindsay and Patrick Dillett .","['Patrick Dillett', (35066, 35067), 'ORG']","['Patrick Dillett', 94, 'PERSON']"
"Recently there have been increased efforts to modernise and standardise the fleets , with large purchases from China CNR Corporation and Alstom .","['Alstom', (35374, 35374), 'ORG']","['Alstom', 137, 'LOC']"
He had chosen Haridas Giri propagated the importance of Namasankeetanam .,"['Haridas Giri', (35544, 35545), 'ORG']","['Haridas Giri', 14, 'PERSON']"
He had chosen Haridas Giri propagated the importance of Namasankeetanam .,"['Namasankeetanam', (35550, 35550), 'ORG']","['Namasankeetanam', 56, 'LOC']"
' '' '' White Horse '' - Taylor Swift '' ',"['White Horse', (35630, 35631), 'ORG']","['White Horse', 8, 'PERSON']"
"In April , 2007 , the band released what would be their final album , The Well .","['The Well', (35794, 35795), 'LOC']","['The Well', 70, 'ORG']"
Neil Ellett ( North Shore ),"['North Shore', (35879, 35880), 'ORG']","['North Shore', 14, 'LOC']"
It is the southernmost building which remains of the Inca Empire .,"['Inca Empire', (36005, 36006), 'ORG']","['Inca Empire', 53, 'LOC']"
"Dan Pardus , Geoff Bodine , Hut Stricklin , Jeff Green , Todd Bodine , Matt Kenseth , Bob Strait , Gary Bradberry , Rich Bickle","['Jeff Green', (36032, 36033), 'ORG']","['Jeff Green', 44, 'PERSON']"
"Gaffie du Toit , 14 .","['Gaffie du Toit', (36071, 36073), 'PERSON']","['Gaffie du Toit', 0, 'ORG']"
F. Ertel Carlyle ( D ),"['F. Ertel Carlyle', (36140, 36142), 'ORG']","['F. Ertel Carlyle', 0, 'PERSON']"
Ulster Herald '' ( Thursday ),"['Ulster Herald', (36285, 36286), 'ORG']","['Ulster Herald', 0, 'PERSON']"
'' Rihanna '' ',"['Rihanna', (36316, 36316), 'PERSON']","['Rihanna', 3, 'LOC']"
"From 2006 to its closure in 2010 , she was a host on Gems TV .","['Gems TV', (36347, 36348), 'LOC']","['Gems TV', 53, 'ORG']"
"Stephon Tuitt , Louis Nix , Troy Niklas and George Atkinson III all chose to forgo their final year of eligibility and enter the 2014 NFL Draft .","['Louis Nix', (36423, 36424), 'ORG']","['Louis Nix', 16, 'PERSON']"
"The RheineckÃ¢ÂÂWalzenhausen-Bergbahn ( RhW ) , which opened between Rheineck and Walzenhausen in 1896 .","['Walzenhausen', (36487, 36487), 'LOC']","['Walzenhausen', 84, 'ORG']"
== Province of Catanzaro ==,"['Province of Catanzaro', (36537, 36539), 'LOC']","['Province of Catanzaro', 3, 'ORG']"
"PÃÂ¤rnu County , Koonga Parish , Emmu","['Koonga Parish', (36544, 36545), 'LOC']","['Koonga Parish', 18, 'PERSON']"
Omaha Beef Ã¢ÂÂ Indoor Football League,"['Omaha Beef', (36559, 36560), 'ORG']","['Omaha Beef', 0, 'PERSON']"
According to Clifford Ashley this is the preferred variation .,"['Clifford Ashley', (36655, 36656), 'ORG']","['Clifford Ashley', 13, 'PERSON']"
Sister Sledge - We Are Family,"['Sister Sledge', (36784, 36785), 'ORG']","['Sister Sledge', 0, 'PERSON']"
** 111 Siltasaari '' ( Broholmen ) '',"['Siltasaari', (37253, 37253), 'LOC']","['Siltasaari', 7, 'ORG']"
Northwest Arkansas and Washington Counties,"['Northwest Arkansas', (37456, 37457), 'ORG']","['Northwest Arkansas', 0, 'LOC']"
"He was consecrated by Deusdedit , the Archbishop of Canterbury .","['Deusdedit', (37481, 37481), 'PERSON']","['Deusdedit', 22, 'ORG']"
"He was consecrated by Deusdedit , the Archbishop of Canterbury .","['Archbishop of Canterbury', (37484, 37486), 'PERSON']","['Archbishop of Canterbury', 38, 'LOC']"
The 'Christmas Future ' sequence retold the story of Cinderella .,"['Cinderella', (37506, 37506), 'PERSON']","['Cinderella', 53, 'LOC']"
All following candidates appeared on the ballot for voters in Washington :,"['Washington', (37518, 37518), 'ORG']","['Washington', 62, 'LOC']"
: : : : family Davidsoniaceae '',"['Davidsoniaceae', (37840, 37840), 'ORG']","['Davidsoniaceae', 15, 'LOC']"
"Climamio Bologna - Lottomatica Roma 3-1 ( 78-64 , 65-76 , 80-61 , 63-62 )","['Climamio Bologna', (37885, 37886), 'ORG']","['Climamio Bologna', 0, 'PERSON']"
"Imelda Staunton , Gypsy , Savoy Theatre","['Gypsy', (38057, 38057), 'ORG']","['Gypsy', 18, 'LOC']"
Yorkshire Day Ã¢ÂÂ August 1,"['Yorkshire Day', (38077, 38078), 'ORG']","['Yorkshire Day', 0, 'PERSON']"
There has been a settlement in this location since the Mesolithic era and was inhabited during Roman Britain .,"['Mesolithic era', (38155, 38156), 'ORG']","['Mesolithic era', 55, 'LOC']"
Knickerbocker Avenue on the BMT Myrtle Avenue Line ( ),"['Knickerbocker Avenue', (38173, 38174), 'ORG']","['Knickerbocker Avenue', 0, 'PERSON']"
According to Servius ( comm .,"['Servius', (38298, 38298), 'ORG']","['Servius', 13, 'LOC']"
"self-service stores like the Walmart , Carrefour , Tesco , Auchan etc .","['Walmart', (38438, 38438), 'ORG']","['Walmart', 29, 'LOC']"
"self-service stores like the Walmart , Carrefour , Tesco , Auchan etc .","['Carrefour', (38440, 38440), 'ORG']","['Carrefour', 39, 'LOC']"
"self-service stores like the Walmart , Carrefour , Tesco , Auchan etc .","['Tesco', (38442, 38442), 'ORG']","['Tesco', 51, 'LOC']"
"self-service stores like the Walmart , Carrefour , Tesco , Auchan etc .","['Auchan', (38444, 38444), 'ORG']","['Auchan', 59, 'LOC']"
"It is served from December 14 , 2003 by RER E trains bound to Tournan .","['Tournan', (38517, 38517), 'ORG']","['Tournan', 62, 'LOC']"
"It was formed in Copenhagen , in the scene around Ungdomshuset .","['Ungdomshuset', (38586, 38586), 'ORG']","['Ungdomshuset', 50, 'LOC']"
"In the November , he made his Formula Super Vee debut at Caesars Palace , Las Vegas .","['Caesars Palace', (38639, 38640), 'LOC']","['Caesars Palace', 57, 'ORG']"
Portugal 6Ã¢ÂÂ0 ( 3Ã¢ÂÂ0 ) Luxembourg,"['Portugal', (38834, 38834), 'ORG']","['Portugal', 0, 'LOC']"
Lester B. Pearson Award :,"['Lester B. Pearson Award', (39114, 39117), 'ORG']","['Lester B. Pearson Award', 0, 'PERSON']"
"*Acharya Hazari Prasad Dwivedi Rachnawali '' , Rajkamal Prakashan , Delhi .","['Rajkamal Prakashan', (39126, 39127), 'ORG']","['Rajkamal Prakashan', 47, 'PERSON']"
"'' Mendocino Beacon '' of Mendocino , California","['Mendocino Beacon', (39208, 39209), 'ORG']","['Mendocino Beacon', 3, 'PERSON']"
"Eldece Clarke-Lewis , Pauline Davis-Thompson , Debbie Ferguson , Sevatheda Fynes , Chandra Sturrup","['Debbie Ferguson', (39308, 39309), 'ORG']","['Debbie Ferguson', 47, 'PERSON']"
"Eldece Clarke-Lewis , Pauline Davis-Thompson , Debbie Ferguson , Sevatheda Fynes , Chandra Sturrup","['Sevatheda Fynes', (39311, 39312), 'ORG']","['Sevatheda Fynes', 65, 'PERSON']"
As of 2014 he served as Deputy of the LIX Legislature of the Mexican Congress representing the Federal District .,"['LIX Legislature of the Mexican Congress', (39351, 39356), 'PERSON']","['LIX Legislature of the Mexican Congress', 38, 'ORG']"
As of 2014 he served as Deputy of the LIX Legislature of the Mexican Congress representing the Federal District .,"['Federal District', (39359, 39360), 'ORG']","['Federal District', 95, 'LOC']"
Da Vinci 's Inquest '',"[""Da Vinci 's Inquest"", (39368, 39371), 'ORG']","[""Da Vinci 's Inquest"", 0, 'PERSON']"
In 1946Ã¢ÂÂ1947 he was a Guggenheim Fellow .,"['Guggenheim Fellow', (39378, 39379), 'ORG']","['Guggenheim Fellow', 27, 'PERSON']"
Xenia ( Rijeka / Zagreb ) - early period,"['Xenia', (39516, 39516), 'ORG']","['Xenia', 0, 'LOC']"
"During his reign , the Chandellas and Kalachuris emerged in lands formerly of the Pratiharas .","['Chandellas', (39553, 39553), 'ORG']","['Chandellas', 23, 'LOC']"
"During his reign , the Chandellas and Kalachuris emerged in lands formerly of the Pratiharas .","['Kalachuris', (39555, 39555), 'ORG']","['Kalachuris', 38, 'LOC']"
"During his reign , the Chandellas and Kalachuris emerged in lands formerly of the Pratiharas .","['Pratiharas', (39562, 39562), 'ORG']","['Pratiharas', 82, 'LOC']"
"George Wythe High School ( Richmond , Virginia )","['George Wythe High School', (39588, 39591), 'ORG']","['George Wythe High School', 0, 'PERSON']"
"He made his first-team debut for TromsÃÂ¸ IL in 2000 , and was in the starting eleven for the first time against Rosenborg BK in September .","['Rosenborg BK', (39758, 39759), 'ORG']","['Rosenborg BK', 114, 'PERSON']"
It is part of the Cape Breton Regional Municipality .,"['Cape Breton Regional Municipality', (39792, 39795), 'LOC']","['Cape Breton Regional Municipality', 18, 'ORG']"
"' '' ''Mobile Home '' ' '' is the second and final album by Longpigs , released in 1999 on U2 's record label Mother .","['Longpigs', (39861, 39861), 'ORG']","['Longpigs', 60, 'LOC']"
"' '' ''Mobile Home '' ' '' is the second and final album by Longpigs , released in 1999 on U2 's record label Mother .","['Mother', (39871, 39871), 'ORG']","['Mother', 110, 'LOC']"
"October 13 , Palau Sant Jordi , Barcelona","['Palau Sant Jordi', (39936, 39938), 'ORG']","['Palau Sant Jordi', 13, 'PERSON']"
"Pontiac Hotel , Oswego , New York , 1912","['Pontiac Hotel', (40027, 40028), 'ORG']","['Pontiac Hotel', 0, 'PERSON']"
** '' Twang '' Ã¢ÂÂ George Strait,"['Twang', (40136, 40136), 'ORG']","['Twang', 6, 'LOC']"
"*11 January - AndrÃÂ©-Damien-Ferdinand Jullien , Cardinal ( born 1882 )","['Cardinal', (40179, 40179), 'PERSON']","['Cardinal', 50, 'LOC']"
