sentence,entities
' '' Katowice '' ',"[['Katowice', (90399, 90399), 'LOC']]"
"Sally Greengross , Baroness Greengross",[]
Its second and third editions were conducted at Eranakulam and Dubai .,"[['Eranakulam', (90415, 90415), 'ORG'], ['Dubai', (90417, 90417), 'LOC']]"
"**President - Robert Kocharyan , President of Armenia ( 1998â2008 )","[['Robert Kocharyan', (90421, 90422), 'PER'], ['President of Armenia', (90424, 90426), 'ORG']]"
"Evgeny Novikov finished fifth ahead of Mikko Hirvonen , Andreas Mikkelsen and Mads Ãstberg .","[['Evgeny Novikov', (90430, 90431), 'PER'], ['Mikko Hirvonen', (90436, 90437), 'PER'], ['Andreas Mikkelsen', (90439, 90440), 'PER'], ['Mads Ã\x98stberg', (90442, 90443), 'PER']]"
"Patrick Hepburn , 1st Earl of Bothwell ( 1499 )","[['Patrick Hepburn , 1st Earl of Bothwell', (90445, 90451), 'PER']]"
2006 : Rob Leatham 1902-145x,"[['Rob Leatham', (90457, 90458), 'PER']]"
*a 2002 Genesis Award ;,"[['Genesis Award', (90462, 90463), 'ORG']]"
Major General Jayantha de S. Jayaratne,"[['Major General', (90465, 90466), 'ORG']]"
Henry Waxman ( D ),"[['Henry Waxman', (90471, 90472), 'PER']]"
It is known from Peru .,"[['Peru', (90480, 90480), 'LOC']]"
Empress Dowager Longyu,[]
"Sharon Township , Barber County , Kansas",[]
`` You Belong to Me '' â Tori Amos ( 3:03 ),"[['You Belong to Me', (90493, 90496), 'ORG'], ['Tori Amos', (90499, 90500), 'PER']]"
'' Bombay Bicycle Club '' ',"[['Bombay Bicycle Club', (90505, 90507), 'ORG']]"
' '' Spartak Trnava '' ',"[['Spartak Trnava', (90512, 90513), 'ORG']]"
Label : Limelight ( LM 82038 ),"[['Limelight', (90518, 90518), 'ORG']]"
"Campion College , Regina , University of Regina","[['Campion College , Regina', (90523, 90526), 'ORG']]"
"Best Vocal Performance , Female",[]
"Firuzabad , Abarkuh",[]
Walter MartÃ­nez ( footballer ),[]
"LogroÃ±o , Ecuador",[]
Queen 's Privy Council for Canada,[]
Giovanni Battista Doni,[]
Steve Ross ( basketball ),[]
"It was released by Thick Records on May 27 , 2003 .","[['Thick Records', (90565, 90566), 'ORG']]"
He was made a Fellow of the Royal Institute of British Architects in 1881 but lapsed in 1896 .,"[['Royal Institute of British Architects', (90580, 90584), 'ORG']]"
"Kristofer Uppdal ( 1878â1961 ) , poet , writer","[['Kristofer Uppdal', (90592, 90593), 'PER']]"
Mount Pleasant Correctional Facility - Mount Pleasant,"[['Mount Pleasant Correctional Facility', (90601, 90604), 'ORG']]"
"He settled in New Orleans , Louisiana , and became a lawyer .","[['New Orleans , Louisiana', (90611, 90614), 'ORG']]"
2013 - Hiroshima - KOICON,"[['Hiroshima', (90623, 90623), 'LOC']]"
United States Minor Outlying Islands,[]
"Ruslan Dzhalilov , Petro Kruk","[['Ruslan Dzhalilov', (90631, 90632), 'PER']]"
Charles `` Chuck '' Harrison,[]
'' George H. W. Bush '' ' â 9,"[['George H. W. Bush', (90642, 90645), 'PER']]"
"Mendelson , Edward ( 1999 ) .","[['Mendelson , Edward', (90650, 90652), 'PER']]"
Rajkot Junction railway station,[]
'' County of Edessa '' ' â,"[['County of Edessa', (90662, 90664), 'ORG']]"
Claudio Bravo ( painter ),[]
"He played for clubs in Australia , the United States , and Malta .","[['Australia', (90678, 90678), 'LOC'], ['United States', (90681, 90682), 'LOC'], ['Malta', (90685, 90685), 'LOC']]"
"Golden-crowned warbler , ''Basileuterus culicivorus ''","[['Golden-crowned warbler', (90687, 90688), 'LOC']]"
It is found in New Guinea .,"[['New Guinea', (90697, 90698), 'LOC']]"
"A39]] at Kilkhampton , Bude","[['Kilkhampton', (90702, 90702), 'LOC']]"
"Elmer BÃ¤ck , Pamela Tola","[['Elmer BÃ¤ck', (90705, 90706), 'ORG']]"
Hosoi Heishu ( 1728â1801 ),"[['Hosoi Heishu', (90710, 90711), 'PER']]"
' '' With the Art Farmer / Benny Golson Jazztet '' ',"[['Art Farmer', (90719, 90720), 'PER'], ['Benny Golson', (90722, 90723), 'PER'], ['Jazztet', (90724, 90724), 'ORG']]"
Howard R. Lamar,[]
"'' Isauria dilucidella '' ( Duponchel , 1836 )","[['Isauria dilucidella', (90731, 90732), 'LOC']]"
Marquis Who 's Who,[]
Jerome Bettis ( 1996â2005 ),"[['Jerome Bettis', (90743, 90744), 'PER']]"
It is the home of Oxford University Rugby Football Club and until 2016 was the home of semi-professional Oxford Rugby League .,"[['Oxford University Rugby Football Club', (90753, 90757), 'ORG'], ['Oxford Rugby League', (90766, 90768), 'ORG']]"
"Justin Long , Noomi Rapace","[['Justin Long', (90770, 90771), 'PER']]"
The Score ( 2004 ),"[['The Score', (90775, 90776), 'ORG']]"
"Elderon , Wisconsin",[]
"It is located in Hobart , Tasmania , Australia .","[['Hobart', (90787, 90787), 'LOC'], ['Tasmania', (90789, 90789), 'LOC'], ['Australia', (90791, 90791), 'LOC']]"
"Los Alamos County , New Mexico",[]
Sea Lion Cove State Marine Conservation Area,[]
"Radstone , Roade , Rothersthorpe","[['Radstone', (90806, 90806), 'LOC'], ['Roade', (90808, 90808), 'LOC']]"
' '' U.S. Open Cup,[]
"South Glengarry , Ontario",[]
Im Auftrag des Herrn ... â Die Toten Hosen Live,[]
'' Chicago '' ( 2011 ),"[['Chicago', (90831, 90831), 'LOC']]"
Communes of the Charente-Maritime department,[]
"Coral Terrace , Florida",[]
"Bute County , North Carolina",[]
"In May , he appeared in the play ''Tubstrip '' , alongside Casey Donovan .","[['Casey Donovan', (90862, 90863), 'PER']]"
The third and last single from the album is `` Ultra Lover '' .,"[['Ultra Lover', (90875, 90876), 'ORG']]"
Ivory CoastâUnited States relations,[]
Fiskeville ( also in Scituate ),"[['Fiskeville', (90883, 90883), 'LOC'], ['Scituate', (90887, 90887), 'LOC']]"
DJ Premier â producer,"[['DJ Premier', (90889, 90890), 'PER']]"
Campbell Brown ( formerly at CNN ),"[['Campbell Brown', (90893, 90894), 'PER'], ['CNN', (90898, 90898), 'ORG']]"
Congress of the Republic of Peru,"[['Congress of the Republic', (90900, 90903), 'ORG']]"
Corso Italia ( Toronto ),[]
2005 UCI ProTour,[]
"Yolanda Be Cool and DCUP , 2015","[['Yolanda Be Cool', (90914, 90916), 'ORG'], ['DCUP', (90918, 90918), 'PER']]"
Salt River First Nation,[]
** '' Juan Domingo PerÃ³n Collection '' .,"[['Juan Domingo PerÃ³n', (90927, 90929), 'ORG']]"
Thomas Balvay ( France ),"[['Thomas Balvay', (90933, 90934), 'PER'], ['France', (90936, 90936), 'ORG']]"
"'' Prosotas nora caliginosa '' ( Druce , 1891 )","[['Prosotas nora caliginosa', (90939, 90941), 'LOC']]"
"It is located near U.S. Route 101 south-southeast of Leggett , at an elevation of 1112 feet ( 339 m ) .","[['U.S. Route 101', (90952, 90954), 'ORG'], ['Leggett', (90957, 90957), 'LOC']]"
As Told by Ginger '',"[['As Told by Ginger', (90970, 90973), 'ORG']]"
MONU - magazine on urbanism,[]
"He subsequently returned to Dorset , working for Plesseys for 20 years before retiring ( in October 2006 he was living in Poole ) .","[['Dorset', (90984, 90984), 'LOC'], ['Plesseys', (90988, 90988), 'ORG'], ['Poole', (91002, 91002), 'LOC']]"
"Henry Montagu , 1st Viscount Mandeville ( 14 December 1620 â 29 September 1621 )","[['Henry Montagu , 1st Viscount Mandeville', (91005, 91010), 'PER']]"
' '' Thisara Perera '' ',"[['Thisara Perera', (91022, 91023), 'PER']]"
"Kavita Krishnamurthy , Ila Arun","[['Kavita Krishnamurthy', (91026, 91027), 'PER']]"
"Milena PavloviÄ-Barili ( 1909-1945 ) , painter","[['Milena PavloviÄ\x87-Barili', (91031, 91032), 'PER']]"
CM : Ian Bishop,[]
Henry W. Grady High School,[]
Observatorio de La CaÃ±ada,[]
Fortified Church of St. Arbogast,[]
** Thessalonika : Thessaloniki-Dialogis ( 16 ),"[['Thessalonika', (91057, 91057), 'ORG'], ['Thessaloniki-Dialogis', (91059, 91059), 'LOC']]"
The Priests ( 2009 ),"[['The Priests', (91063, 91064), 'ORG']]"
"Stoke Gabriel churchyard Devon , England","[['Stoke Gabriel', (91068, 91069), 'LOC'], ['Devon', (91071, 91071), 'LOC']]"
"File : King JosÃ© I , Lisbon","[['King JosÃ© I', (91076, 91078), 'ORG']]"
'' 'City '' ' : Tanauan City,[]
"United States ( Arkansas , Illinois , Kentucky , Louisiana , Mississippi , Missouri , Tennessee , Texas , Oklahoma , Kansas )","[['United States', (91088, 91089), 'LOC'], ['Arkansas', (91091, 91091), 'LOC'], ['Illinois', (91093, 91093), 'LOC'], ['Kentucky', (91095, 91095), 'LOC'], ['Louisiana', (91097, 91097), 'LOC'], ['Mississippi', (91099, 91099), 'LOC'], ['Missouri', (91101, 91101), 'LOC'], ['Tennessee', (91103, 91103), 'LOC'], ['Texas', (91105, 91105), 'LOC'], ['Oklahoma', (91107, 91107), 'LOC'], ['Kansas', (91109, 91109), 'LOC']]"
"Michael Carruth and Emma O'Driscoll , Richie Kavanagh , Larry Gogan","[['Michael Carruth', (91111, 91112), 'PER'], [""Emma O'Driscoll"", (91114, 91115), 'PER'], ['Richie Kavanagh', (91117, 91118), 'PER']]"
' '' Lucena CF '' ',"[['Lucena CF', (91124, 91125), 'ORG']]"
Randi Mayem Singer and Rina Mimoun,"[['Randi Mayem Singer', (91128, 91130), 'PER']]"
"'' Bedellia somnulentella '' ( Zeller , 1847 )","[['Bedellia somnulentella', (91135, 91136), 'LOC']]"
"Coopersville , Clinton County , New York",[]
"Neocompsa mendezi '' Giesbert , 1998","[['Neocompsa mendezi', (91150, 91151), 'LOC']]"
Chestnut-bellied mountain tanager,[]
' '' Bruce McLaren '' ',"[['Bruce McLaren', (91161, 91162), 'PER']]"
"Some of its elements , such as certain choices in its ordering , reflect features particular to the Tang dynasty , but no conclusive proof of an actual date of composition has yet been found .","[['Tang dynasty', (91183, 91184), 'LOC']]"
"St. George & St. Shenouda Coptic Orthodox Church ( Jersey City , New Jersey )","[['St. George &', (91201, 91203), 'ORG']]"
"London , Ontario",[]
National Capital Region ( Canada ),[]
Ivan C. Lafayette,[]
President of Pakistan,[]
Miranda de Ebro,[]
Luke Ridnour ( 9 ),"[['Luke Ridnour', (91234, 91235), 'PER']]"
** Holy Dio : Tribute to Ronnie James Dio '' ( 2000 ),"[['Holy Dio : Tribute to Ronnie James Dio', (91240, 91247), 'ORG']]"
border Colegio de San Juan de Letran,[]
"University of Texas , El Paso",[]
Guillermo GonzÃ¡lez Camarena,[]
Method Man as Melvin `` Cheese '' Wagstaff,"[['Method Man', (91268, 91269), 'PER']]"
"Offices are in Baltimore , Maryland , Dallas , Texas , Columbus , Ohio , and Louisville , Kentucky","[['Baltimore , Maryland', (91279, 91281), 'ORG'], ['Dallas , Texas', (91283, 91285), 'ORG'], ['Columbus , Ohio', (91287, 91289), 'LOC']]"
' '' Elias Sydall '' ',"[['Elias Sydall', (91297, 91298), 'PER']]"
Adansonia digitata '' L .,"[['Adansonia digitata', (91301, 91302), 'LOC']]"
'' ' '' Cuddle Up a Little Closer '' ' '',"[['Cuddle Up a Little Closer', (91309, 91313), 'ORG']]"
"The song was a hit when first published , and was covered by numerous artists including Ben Bernie and His Hotel Roosevelt Orchestra , Annette Hanshaw , Ben Selvin & His Orchestra and Belle Baker .","[['Ben Bernie and His Hotel Roosevelt Orchestra', (91333, 91339), 'PER'], ['Annette Hanshaw', (91341, 91342), 'PER'], ['Ben Selvin & His Orchestra', (91344, 91348), 'PER'], ['Belle Baker', (91350, 91351), 'PER']]"
** ' '' X-Ray '' ' -,"[['X-Ray', (91356, 91356), 'PER']]"
Alan Miller ( disambiguation ),[]
** '' Kingdom of Gwent '' ' â Edwyn ap Gwriad ( 1015â1045 ),"[['Kingdom of Gwent', (91367, 91369), 'ORG'], ['Edwyn ap Gwriad', (91373, 91375), 'PER']]"
"See also : MoÅciska DuÅ¼e , MoÅciska MaÅe , MoÅciska-Kolonia","[['MoÅ\x9bciska DuÅ¼e', (91382, 91383), 'LOC'], ['MoÅ\x9bciska MaÅ\x82e', (91385, 91386), 'LOC']]"
Australia and Vanuatu progressed to the semi-finals .,"[['Australia', (91389, 91389), 'ORG'], ['Vanuatu', (91391, 91391), 'ORG']]"
15 cm hruba houfnice vz. 25,[]
Turks and Caicos Islands,[]
Daniel M. Hausman ( 2003 ) .,"[['Daniel M. Hausman', (91407, 91409), 'PER']]"
Max van Heeswijk,[]
AT & T Mobility,[]
New Brunswick Route 8,[]
'' Byzantine Empire '' ' ( Palaiologan dynasty ) - John V ( 1341â1391 ),"[['Byzantine Empire', (91426, 91427), 'LOC'], ['Palaiologan dynasty', (91431, 91432), 'ORG'], ['John V', (91435, 91436), 'PER']]"
"Lawton , Oklahoma metropolitan area",[]
Construction began in 1938 on the Pensacola Dam on the Grand River ( lower Neosho River ) as a Works Progress Administration project .,"[['Pensacola Dam', (91451, 91452), 'ORG'], ['Grand River', (91455, 91456), 'LOC'], ['lower Neosho River', (91458, 91460), 'LOC'], ['Works Progress Administration', (91464, 91466), 'ORG']]"
** '' Duchy of Croatia '' ' â Mislav of Croatia ( 835â845 ),"[['Duchy of Croatia', (91471, 91473), 'LOC'], ['Mislav of Croatia', (91477, 91479), 'PER']]"
Henry White ( footballer ),[]
Bellaire High School ( Texas ),[]
"*Independent and others : Merano , Rovereto , Grumo Nevano , Orta di Atella , Sorrento , Mascali , Mussomeli , Nicosia , Raffadali , Trabia , Sanluri , Tempio Pausania , Angri , Bacoli , Casalnuovo di Napoli , Casavatore , Eboli , Giugliano in Campania , Terzigno , Ceccano , Fermo , Altamura , Cerignola , Latiano , Mesagne , Modugno , Nuoro , Silius , Ribera , Tremestieri Etneo .","[['Merano', (91498, 91498), 'LOC'], ['Rovereto', (91500, 91500), 'LOC'], ['Grumo Nevano', (91502, 91503), 'LOC'], ['Orta di Atella', (91505, 91507), 'LOC'], ['Sorrento', (91509, 91509), 'LOC'], ['Mascali', (91511, 91511), 'LOC'], ['Mussomeli', (91513, 91513), 'LOC'], ['Nicosia', (91515, 91515), 'LOC'], ['Raffadali', (91517, 91517), 'LOC'], ['Trabia', (91519, 91519), 'LOC'], ['Sanluri', (91521, 91521), 'LOC'], ['Tempio Pausania', (91523, 91524), 'LOC'], ['Angri', (91526, 91526), 'LOC'], ['Bacoli', (91528, 91528), 'LOC'], ['Casalnuovo di Napoli', (91530, 91532), 'LOC'], ['Casavatore', (91534, 91534), 'LOC'], ['Eboli', (91536, 91536), 'LOC'], ['Giugliano in Campania', (91538, 91540), 'LOC'], ['Terzigno', (91542, 91542), 'LOC'], ['Ceccano', (91544, 91544), 'LOC'], ['Fermo', (91546, 91546), 'LOC'], ['Altamura', (91548, 91548), 'LOC'], ['Cerignola', (91550, 91550), 'LOC'], ['Latiano', (91552, 91552), 'LOC'], ['Mesagne', (91554, 91554), 'LOC'], ['Modugno', (91556, 91556), 'LOC'], ['Nuoro', (91558, 91558), 'LOC'], ['Silius', (91560, 91560), 'LOC'], ['Ribera', (91562, 91562), 'LOC'], ['Tremestieri Etneo', (91564, 91565), 'LOC']]"
Raymond Felton ( 9 ),"[['Raymond Felton', (91567, 91568), 'PER']]"
"**AL : Jackie Jensen , Boston Red Sox","[['Jackie Jensen', (91574, 91575), 'PER']]"
"He was born and died in Cruger , Mississippi .","[['Cruger , Mississippi', (91586, 91588), 'LOC']]"
Ocean Beach ( Suffolk County ),"[['Ocean Beach', (91590, 91591), 'LOC'], ['Suffolk County', (91593, 91594), 'LOC']]"
Noisy-channel coding theorem,[]
CSA Steaua BucureÈti ( basketball ),[]
Kane Cornes ( 35 ),"[['Kane Cornes', (91605, 91606), 'PER']]"
"BuzÄu ( 108,384 )","[['BuzÄ\x83u', (91610, 91610), 'LOC']]"
10 kilometres â 30:48 min ( 2010 ),"[['10 kilometres', (91614, 91615), 'ORG']]"
Namegata District was dissolved as a result of this merger .,"[['Namegata District', (91622, 91623), 'LOC']]"
"'' Catocala nymphagoga '' ( Esper , 1787 )","[['Catocala nymphagoga', (91634, 91635), 'LOC']]"
"In April 2014 , a Hindi version of the book titled ''Bharat Vikhandan '' was released .","[['Hindi', (91647, 91647), 'LOC']]"
He co-produced Kevin Max 's 2007 album The Blood '' and toured with him .,"[['Kevin Max', (91661, 91662), 'PER'], ['The Blood', (91666, 91667), 'ORG']]"
Rewa ( princely state ),[]
"Griswold , Connecticut",[]
French Communist Party,[]
"Its remnants were demolished in 1953 while part of Kaliningrad , Russia .","[['Kaliningrad', (91694, 91694), 'LOC'], ['Russia', (91696, 91696), 'LOC']]"
Arrested Development ( season 3 ),[]
** Nova Scotia ( 1519 ? â ?,"[['Nova Scotia', (91705, 91706), 'LOC']]"
Canal 5 ( Televisa Network ),[]
West Virginia Route 67,[]
Chobe River : Namibia and Botswana,"[['Chobe River', (91722, 91723), 'ORG'], ['Namibia', (91725, 91725), 'LOC']]"
"Niagara Falls Memorial Arena , Niagara Falls , Ontario , Canada","[['Niagara Falls Memorial Arena', (91728, 91731), 'ORG'], ['Niagara Falls , Ontario', (91733, 91736), 'LOC']]"
Alton Byrd ( Kingston Kings ),"[['Alton Byrd', (91739, 91740), 'PER'], ['Kingston Kings', (91742, 91743), 'ORG']]"
Figure skating at the 1908 Summer Olympics,[]
International Avenue Bridge,[]
St. John 's Maple Leafs â 79 points,"[[""St. John 's Maple Leafs"", (91755, 91759), 'ORG']]"
Barry Zito 35 ( 2001 ) Co-Leader,"[['Barry Zito', (91763, 91764), 'PER']]"
"'' Monochroa arundinetella '' ( Stainton , 1858 )","[['Monochroa arundinetella', (91771, 91772), 'LOC']]"
Bhabha Engineering Research Institute,[]
David Loebsack ( D ),"[['David Loebsack', (91783, 91784), 'PER']]"
' '' Dag Nasty '' ',"[['Dag Nasty', (91790, 91791), 'ORG']]"
Edwardsburgh / Cardinal,[]
All services are operated by the Norwegian State Railways .,"[['Norwegian State Railways', (91803, 91805), 'ORG']]"
*2012 : The Royal Shakespeare Company staged an all-black production under the direction of Gregory Doran .,"[['Royal Shakespeare Company', (91810, 91812), 'ORG'], ['Gregory Doran', (91821, 91822), 'PER']]"
"Between 2005 and 2007 , he studied at the Ghana Institute of Management and Public Administration at Achimota in Accra .","[['Ghana Institute of Management and Public Administration', (91833, 91839), 'ORG'], ['Achimota', (91841, 91841), 'LOC'], ['Accra', (91843, 91843), 'LOC']]"
"Grenada , Mississippi",[]
"** Chicago Futabakai Japanese School ( Arlington Heights , Illinois )","[['Chicago Futabakai Japanese School', (91849, 91852), 'ORG'], ['Arlington Heights , Illinois', (91854, 91857), 'LOC']]"
"'' Stigmella ulmiphaga '' ( Preissecker , 1942 )","[['Stigmella ulmiphaga', (91860, 91861), 'LOC']]"
McMahan Mound Site,[]
"Recent clients include Actavis , Alcoa , Fluor Corporation , Gannett , GlaxoSmithKline , London Stock Exchange Group , Safeway , Tesco , Teva , and the US Department of Treasury .","[['Actavis', (91874, 91874), 'ORG'], ['Alcoa', (91876, 91876), 'ORG'], ['Fluor Corporation', (91878, 91879), 'ORG'], ['Gannett', (91881, 91881), 'ORG'], ['GlaxoSmithKline', (91883, 91883), 'ORG'], ['London Stock Exchange Group', (91885, 91888), 'ORG'], ['Safeway', (91890, 91890), 'ORG'], ['Tesco', (91892, 91892), 'ORG'], ['Teva', (91894, 91894), 'ORG'], ['US Department of Treasury', (91898, 91901), 'ORG']]"
â Main article : Exocrine pancreas .,"[['Exocrine pancreas', (91907, 91908), 'ORG']]"
Rep. Rob Simmons ( R-CT ),"[['Rob Simmons', (91911, 91912), 'PER']]"
: in Elk River .,"[['Elk River', (91918, 91919), 'LOC']]"
"Air Enthusiast '' , No .","[['Air Enthusiast', (91921, 91922), 'ORG']]"
`` For Whom the Bell Tolls '',"[['For Whom the Bell Tolls', (91928, 91932), 'ORG']]"
Ramulispora acuformis '' [anamorph],"[['Ramulispora acuformis', (91934, 91935), 'LOC']]"
Sivakorn Pu-Udom ( 2013â ),"[['Sivakorn Pu-Udom', (91938, 91939), 'PER']]"
"'' Phalonidia gilvicomana '' ( Zeller , 1847 )","[['Phalonidia gilvicomana', (91944, 91945), 'LOC']]"
Sue Wilson Beffort,[]
Olney Daily Mail '' â Olney,"[['Olney Daily Mail', (91955, 91957), 'ORG']]"
CÃ´tes de Duras,[]
: â Duchess Elisabeth of WÃ¼rttemberg ( born 2 February 1933 in Stuttgart ) on 18 July 1958 in Altshausen,"[['Duchess Elisabeth of WÃ¼rttemberg', (91966, 91969), 'PER'], ['Stuttgart', (91976, 91976), 'LOC']]"
' '' Honda '' ',"[['Honda', (91986, 91986), 'ORG']]"
Edward V. Long ( D ),"[['Edward V. Long', (91989, 91991), 'PER']]"
"It is found on Borneo , Bali and the Philippines .","[['Borneo', (91999, 91999), 'LOC'], ['Bali', (92001, 92001), 'LOC'], ['Philippines', (92004, 92004), 'LOC']]"
"He moved to Alma , Wisconsin in 1855 .","[['Alma , Wisconsin', (92009, 92011), 'LOC']]"
O ( Korean name ),[]
Results of the local government election held on 8 October 2011 .,"[['local government election', (92023, 92025), 'ORG']]"
Many of his works are now published by Chronicle Books .,"[['Chronicle Books', (92040, 92041), 'ORG']]"
"In 1982 , they were briefly used on through services to Melbourne .","[['Melbourne', (92054, 92054), 'LOC']]"
Tomas BarrÃ³n Province,[]
Ice Cream Everyday,[]
The Temptations made the 1 hit `` Papa Was a Rollin ' Stone '' in 1972 .,"[['The Temptations', (92062, 92063), 'ORG'], [""Papa Was a Rollin ' Stone"", (92069, 92074), 'ORG']]"
Short Stack - 13 December 2009,"[['Short Stack', (92079, 92080), 'ORG']]"
"New York City , New York","[['New York City', (92085, 92087), 'LOC']]"
Richard Watson ( 1781â1833 ),"[['Richard Watson', (92091, 92092), 'PER']]"
' '' William Humberstone '' ' - 74,"[['William Humberstone', (92098, 92099), 'PER']]"
University of Portsmouth,[]
"Sedge warbler , ''Acrocephalus schoenobaenus ''","[['Sedge warbler', (92107, 92108), 'LOC']]"
' '' Illawarra Cutters '' ',"[['Illawarra Cutters', (92115, 92116), 'ORG']]"
"ChristChurch Cathedral , Christchurch",[]
2008 New York Mets season,[]
"ÅÃ³dÅº - opened January 19 , 2001 , 1800 seats , 10 screens","[['Å\x81Ã³dÅº', (92128, 92128), 'LOC']]"
' '' Eugene Laverty '' ',"[['Eugene Laverty', (92143, 92144), 'PER']]"
"It is found in Australia , where it has been recorded from Tasmania .","[['Australia', (92151, 92151), 'LOC'], ['Tasmania', (92159, 92159), 'LOC']]"
Ron Perranoski ( 12 ),"[['Ron Perranoski', (92161, 92162), 'PER']]"
Harold E. LeMay America 's Car Museum,[]
Porsche 911S ( 1973 to 1974 ),"[['Porsche 911S', (92173, 92174), 'ORG']]"
"'' Casanova '' 1-14 ( with Gabriel BÃ¡ and FÃ¡bio Moon , 2006-2008 )","[['Casanova', (92181, 92181), 'ORG'], ['Gabriel BÃ¡', (92186, 92187), 'PER'], ['FÃ¡bio Moon', (92189, 92190), 'PER']]"
He was the father of Steuart Bayley .,"[['Steuart Bayley', (92199, 92200), 'PER']]"
Pauline Fowler married to Arthur Fowler and Joe Macer,"[['Pauline Fowler', (92202, 92203), 'PER'], ['Arthur Fowler', (92206, 92207), 'PER']]"
Victor Hogan ' '' ',"[['Victor Hogan', (92211, 92212), 'PER']]"
'' Panaeolus moellerianus '' Singer,"[['Panaeolus moellerianus', (92217, 92218), 'LOC']]"
Cotton mouse â ''P .,"[['Cotton mouse', (92221, 92222), 'LOC']]"
Vaz / Obervaz,[]
Glen Davis ( basketball ),[]
"' '' Han Xinyun '' ' 6â2 , 6â1","[['Han Xinyun', (92236, 92237), 'PER']]"
"Amongst numerous legacies at his death was a sum to found a grammar school at Stockport , where his parents had been buried .","[['grammar school', (92255, 92256), 'ORG'], ['Stockport', (92258, 92258), 'LOC']]"
"Muhammadpur , a neighbourhood of S.I.T.E. Town in Karachi , Sindh , Pakistan","[['Muhammadpur', (92267, 92267), 'ORG'], ['S.I.T.E. Town', (92272, 92273), 'LOC'], ['Karachi', (92275, 92275), 'LOC'], ['Sindh', (92277, 92277), 'LOC']]"
Binary ( disambiguation ),[]
*2010 - Steven E. Brenner,[]
"Born in Halton County , Ontario , Canada , Wheelihan emigrated to the United States in 1865 and settled in Wisconsin .","[['Halton County', (92291, 92292), 'ORG'], ['Ontario', (92294, 92294), 'LOC'], ['Canada', (92296, 92296), 'LOC'], ['United States', (92302, 92303), 'LOC'], ['Wisconsin', (92309, 92309), 'LOC']]"
"Elon Musk , SpaceX ( 2013 )","[['Elon Musk', (92311, 92312), 'PER'], ['SpaceX', (92314, 92314), 'ORG']]"
List of Irish saints,[]
Walter Becker / Donald Fagen / Michael Stanley,"[['Walter Becker', (92322, 92323), 'PER'], ['Donald Fagen', (92325, 92326), 'PER']]"
"Circuit de Monaco , Monte Carlo","[['Circuit de Monaco', (92330, 92332), 'LOC']]"
"'' Eupithecia valerianata '' ( HÃ¼bner , 1813 )","[['Eupithecia valerianata', (92337, 92338), 'LOC']]"
"Ion BÄieÈu , playwright","[['Ion BÄ\x83ieÈ\x99u', (92345, 92346), 'PER']]"
Kanazawa College of Art,[]
Sandra Haynie ( 1 / 4 ),"[['Sandra Haynie', (92353, 92354), 'PER']]"
The Federal Communications Commission ( FCC ),"[['Federal Communications Commission', (92361, 92363), 'ORG']]"
"Carlos MoyÃ¡ won in the final 6â4 , 3â6 , 7â6 ( 7â2 ) against JÃ©rÃ´me Golmard .","[['Carlos MoyÃ¡', (92367, 92368), 'PER'], ['JÃ©rÃ´me Golmard', (92382, 92383), 'PER']]"
Communes of the Pas-de-Calais department,[]
Lights ( musician ),[]
List of Hot 100 number-one singles of 1992 ( U.S . ),[]
85137 : Kenny Burrell - ''Generation '',"[['Kenny Burrell', (92408, 92409), 'PER']]"
"Marguerite Duras , author","[['Marguerite Duras', (92413, 92414), 'PER']]"
"Matthew Centrowitz , Jr .",[]
"Cobo Hall , Detroit , Michigan , United States","[['Cobo Hall', (92422, 92423), 'ORG'], ['Detroit , Michigan', (92425, 92427), 'ORG']]"
Bloomingburg Reformed Protestant Dutch Church,[]
Chris Farlowe and the Thunderbirds,[]
Mike & Bernie Winters,[]
Clifford C. Ireland,[]
"`` Lo Que PasÃ³ , PasÃ³ ''","[['Lo Que PasÃ³ , PasÃ³', (92449, 92453), 'ORG']]"
"Esther Bubley , photographer","[['Esther Bubley', (92455, 92456), 'PER']]"
NC 50 between Kenansville and Warsaw ( 7.5 miles ),"[['NC 50', (92459, 92460), 'ORG'], ['Kenansville', (92462, 92462), 'ORG'], ['Warsaw', (92464, 92464), 'ORG']]"
"James Tamou , 10 .","[['James Tamou', (92469, 92470), 'PER']]"
Secret societies in Singapore,[]
"*Lyrics : Mu. Karunanidhi , A.Maruthakasi , P.Kamatchi , M.K.Athmanathan , Villipuththuran and Vivekan","[['Mu. Karunanidhi', (92480, 92481), 'PER']]"
His piece had been performed in Birmingham under conductor Hans Richter in 1906 .,"[['Birmingham', (92498, 92498), 'LOC'], ['Hans Richter', (92501, 92502), 'PER']]"
' '' Aaron Fultz '' ' ( 3â0 ),"[['Aaron Fultz', (92508, 92509), 'PER']]"
'' Jimmy Mack '' â 3:36,"[['Jimmy Mack', (92516, 92517), 'ORG']]"
It is found in California .,"[['California', (92525, 92525), 'LOC']]"
' '' Hussein Sulaimani '' ',"[['Hussein Sulaimani', (92529, 92530), 'PER']]"
"Its see is St. John 's Cathedral , 's-Hertogenbosch .","[[""St. John 's Cathedral , 's-Hertogenbosch"", (92536, 92541), 'ORG']]"
"Howard Mehring ( 1931â1978 ) , painter","[['Howard Mehring', (92543, 92544), 'PER']]"
